date,precipitation
1/15/1914,9.76
2/15/1914,5.04
3/15/1914,1.09
4/15/1914,0.99
5/15/1914,0.37
6/15/1914,0.29
7/15/1914,0.02
8/15/1914,0
9/15/1914,0
10/15/1914,0.29
11/15/1914,0.7
12/15/1914,5.49
1/15/1915,6.64
2/15/1915,7.36
3/15/1915,3.02
4/15/1915,0.62
5/15/1915,3.17
6/15/1915,0
7/15/1915,0.01
8/15/1915,0
9/15/1915,0
10/15/1915,0.01
11/15/1915,0.92
12/15/1915,6.42
1/15/1916,14.59
2/15/1916,3.77
3/15/1916,1.33
4/15/1916,0
5/15/1916,0.07
6/15/1916,0
7/15/1916,0.03
8/15/1916,0.29
9/15/1916,1.2
10/15/1916,0.52
11/15/1916,1.5
12/15/1916,4.79
1/15/1917,1.83
2/15/1917,3.81
3/15/1917,1.42
4/15/1917,0.33
5/15/1917,0.06
6/15/1917,0
7/15/1917,0
8/15/1917,0
9/15/1917,0.02
10/15/1917,0
11/15/1917,0.81
12/15/1917,0.72
1/15/1918,0.81
2/15/1918,5.79
3/15/1918,2.73
4/15/1918,0.6
5/15/1918,0
6/15/1918,0
7/15/1918,0
8/15/1918,0
9/15/1918,2.53
10/15/1918,0.17
11/15/1918,5.6
12/15/1918,2.62
1/15/1919,2.57
2/15/1919,9.31
3/15/1919,2.74
4/15/1919,0.1
5/15/1919,0
6/15/1919,0
7/15/1919,0.01
8/15/1919,0
9/15/1919,0.39
10/15/1919,0.27
11/15/1919,0.44
12/15/1919,3.21
1/15/1920,0.26
2/15/1920,1.23
3/15/1920,3.25
4/15/1920,1.36
5/15/1920,0
6/15/1920,0.04
7/15/1920,0
8/15/1920,0
9/15/1920,0.13
10/15/1920,1.83
11/15/1920,2.7
12/15/1920,7.98
1/15/1921,6.3
2/15/1921,1.38
3/15/1921,2.28
4/15/1921,0.54
5/15/1921,2.54
6/15/1921,0
7/15/1921,0
8/15/1921,0
9/15/1921,0.35
10/15/1921,0.52
11/15/1921,1.43
12/15/1921,6.39
1/15/1922,2.41
2/15/1922,5.15
3/15/1922,2.38
4/15/1922,0.47
5/15/1922,0.55
6/15/1922,0.26
7/15/1922,0
8/15/1922,0
9/15/1922,0
10/15/1922,2.95
11/15/1922,3.77
12/15/1922,7.77
1/15/1923,2.84
2/15/1923,0.77
3/15/1923,0.03
4/15/1923,3.92
5/15/1923,0.06
6/15/1923,0.06
7/15/1923,0
8/15/1923,0.01
9/15/1923,0.44
10/15/1923,0.46
11/15/1923,0.49
12/15/1923,1.91
1/15/1924,2.75
2/15/1924,3.3
3/15/1924,1.96
4/15/1924,0.3
5/15/1924,0
6/15/1924,0
7/15/1924,0
8/15/1924,0.01
9/15/1924,0
10/15/1924,2.98
11/15/1924,1.5
12/15/1924,7.37
1/15/1925,1.62
2/15/1925,7.9
3/15/1925,2.63
4/15/1925,2.73
5/15/1925,4.02
6/15/1925,0.05
7/15/1925,0.06
8/15/1925,0
9/15/1925,0.45
10/15/1925,0.31
11/15/1925,2.32
12/15/1925,1.01
1/15/1926,5.48
2/15/1926,5.4
3/15/1926,0.25
4/15/1926,5.26
5/15/1926,0.15
6/15/1926,0
7/15/1926,0
8/15/1926,0.04
9/15/1926,0
10/15/1926,1.9
11/15/1926,7.21
12/15/1926,1.04
1/15/1927,3.77
2/15/1927,6.85
3/15/1927,2.19
4/15/1927,1.95
5/15/1927,0.1
6/15/1927,0.38
7/15/1927,0
8/15/1927,0
9/15/1927,0
10/15/1927,1.93
11/15/1927,3.18
12/15/1927,3.94
1/15/1928,2.4
2/15/1928,1.97
3/15/1928,4.65
4/15/1928,1.31
5/15/1928,0.26
6/15/1928,0
7/15/1928,0
8/15/1928,0
9/15/1928,0.03
10/15/1928,0.13
11/15/1928,3.35
12/15/1928,4.89
1/15/1929,1.32
2/15/1929,2.14
3/15/1929,1.56
4/15/1929,1.01
5/15/1929,0.01
6/15/1929,0.86
7/15/1929,0
8/15/1929,0
9/15/1929,0
10/15/1929,0.01
11/15/1929,0
12/15/1929,3.09
1/15/1930,4.99
2/15/1930,2.09
3/15/1930,3.53
4/15/1930,1.56
5/15/1930,0.16
6/15/1930,0
7/15/1930,0
8/15/1930,0
9/15/1930,0.1
10/15/1930,0.89
11/15/1930,1.56
12/15/1930,0.98
1/15/1931,5.5
2/15/1931,1.1
3/15/1931,1.68
4/15/1931,0.31
5/15/1931,1.1
6/15/1931,0.32
7/15/1931,0
8/15/1931,0
9/15/1931,0
10/15/1931,0.68
11/15/1931,2.93
12/15/1931,9.24
1/15/1932,3.23
2/15/1932,3
3/15/1932,0.86
4/15/1932,0.47
5/15/1932,0.65
6/15/1932,0.03
7/15/1932,0
8/15/1932,0
9/15/1932,0
10/15/1932,0.01
11/15/1932,1
12/15/1932,2.75
1/15/1933,5.68
2/15/1933,1.13
3/15/1933,2.93
4/15/1933,0.06
5/15/1933,1.36
6/15/1933,0.01
7/15/1933,0
8/15/1933,0
9/15/1933,0.14
10/15/1933,1.49
11/15/1933,0
12/15/1933,4.19
1/15/1934,1.03
2/15/1934,4.68
3/15/1934,0.07
4/15/1934,0.51
5/15/1934,0.12
6/15/1934,0.68
7/15/1934,0.01
8/15/1934,0
9/15/1934,0.13
10/15/1934,0.88
11/15/1934,3.76
12/15/1934,4.06
1/15/1935,6.23
2/15/1935,2.38
3/15/1935,2.31
4/15/1935,3.45
5/15/1935,0.01
6/15/1935,0
7/15/1935,0
8/15/1935,0.25
9/15/1935,0.08
10/15/1935,1.44
11/15/1935,1.24
12/15/1935,3.25
1/15/1936,5.77
2/15/1936,10.06
3/15/1936,1.01
4/15/1936,1.09
5/15/1936,0.49
6/15/1936,0.28
7/15/1936,0.03
8/15/1936,0.02
9/15/1936,0
10/15/1936,0.69
11/15/1936,0.01
12/15/1936,2.94
1/15/1937,5.26
2/15/1937,4.88
3/15/1937,7.05
4/15/1937,0.86
5/15/1937,0.06
6/15/1937,0.59
7/15/1937,0
8/15/1937,0
9/15/1937,0
10/15/1937,0.9
11/15/1937,2.46
12/15/1937,3.73
1/15/1938,2.65
2/15/1938,8.49
3/15/1938,5.73
4/15/1938,1.52
5/15/1938,0
6/15/1938,0
7/15/1938,0.01
8/15/1938,0
9/15/1938,0.15
10/15/1938,1.33
11/15/1938,0.88
12/15/1938,1.48
1/15/1939,3.07
2/15/1939,1.94
3/15/1939,2.62
4/15/1939,0.42
5/15/1939,0.63
6/15/1939,0
7/15/1939,0
8/15/1939,0
9/15/1939,1.06
10/15/1939,0.17
11/15/1939,0.2
12/15/1939,1.05
1/15/1940,9.98
2/15/1940,7.81
3/15/1940,5.32
4/15/1940,0.94
5/15/1940,0.63
6/15/1940,0.01
7/15/1940,0
8/15/1940,0
9/15/1940,0.59
10/15/1940,1.05
11/15/1940,2.22
12/15/1940,6.25
1/15/1941,8.24
2/15/1941,6.71
3/15/1941,4.75
4/15/1941,4.05
5/15/1941,1.18
6/15/1941,0.01
7/15/1941,0.01
8/15/1941,0.03
9/15/1941,0
10/15/1941,0.93
11/15/1941,1.99
12/15/1941,7.3
1/15/1942,4.76
2/15/1942,4.27
3/15/1942,2.62
4/15/1942,3.65
5/15/1942,1.11
6/15/1942,0
7/15/1942,0.01
8/15/1942,0
9/15/1942,0.18
10/15/1942,0.95
11/15/1942,4.45
12/15/1942,2.87
1/15/1943,6.15
2/15/1943,1.95
3/15/1943,3.18
4/15/1943,1.88
5/15/1943,0.13
6/15/1943,0.13
7/15/1943,0
8/15/1943,0
9/15/1943,0.02
10/15/1943,0.74
11/15/1943,0.8
12/15/1943,2.69
1/15/1944,4.31
2/15/1944,5.34
3/15/1944,0.83
4/15/1944,2.07
5/15/1944,0.94
6/15/1944,0.12
7/15/1944,0.01
8/15/1944,0.02
9/15/1944,0
10/15/1944,1.73
11/15/1944,6.24
12/15/1944,3.97
1/15/1945,1.33
2/15/1945,3.43
3/15/1945,4.15
4/15/1945,0.32
5/15/1945,0.64
6/15/1945,0.01
7/15/1945,0
8/15/1945,0
9/15/1945,0.04
10/15/1945,1.95
11/15/1945,3.24
12/15/1945,9.84
1/15/1946,1.76
2/15/1946,2.03
3/15/1946,2.34
4/15/1946,0.05
5/15/1946,0.37
6/15/1946,0.02
7/15/1946,0.06
8/15/1946,0
9/15/1946,0.06
10/15/1946,0.15
11/15/1946,2.73
12/15/1946,2.77
1/15/1947,1.35
2/15/1947,2.65
3/15/1947,3.64
4/15/1947,0.17
5/15/1947,0.67
6/15/1947,0.64
7/15/1947,0
8/15/1947,0
9/15/1947,0
10/15/1947,2.09
11/15/1947,1.39
12/15/1947,1.84
1/15/1948,1
2/15/1948,2.32
3/15/1948,3.36
4/15/1948,3.04
5/15/1948,0.54
6/15/1948,0.01
7/15/1948,0.02
8/15/1948,0.02
9/15/1948,0.09
10/15/1948,0.2
11/15/1948,1.18
12/15/1948,4.76
1/15/1949,2.2
2/15/1949,3.04
3/15/1949,5.85
4/15/1949,0
5/15/1949,0.93
6/15/1949,0
7/15/1949,0.06
8/15/1949,0.04
9/15/1949,0
10/15/1949,0.08
11/15/1949,1.18
12/15/1949,2.77
1/15/1950,7.4
2/15/1950,2.33
3/15/1950,1.65
4/15/1950,0.87
5/15/1950,0.37
6/15/1950,0.03
7/15/1950,0
8/15/1950,0
9/15/1950,0
10/15/1950,2.72
11/15/1950,4.96
12/15/1950,6.01
1/15/1951,4.41
2/15/1951,3
3/15/1951,1.32
4/15/1951,0.89
5/15/1951,0.65
6/15/1951,0.04
7/15/1951,0.01
8/15/1951,0.43
9/15/1951,0.08
10/15/1951,0.81
11/15/1951,3.33
12/15/1951,7.92
1/15/1952,10.69
2/15/1952,2.62
3/15/1952,4.9
4/15/1952,1.08
5/15/1952,0.3
6/15/1952,0.39
7/15/1952,0
8/15/1952,0.01
9/15/1952,0
10/14/1952,0.07
11/14/1952,2.42
12/14/1952,9.06
1/14/1953,3.26
2/14/1953,0.04
3/14/1953,1.83
4/14/1953,3.42
5/14/1953,0.38
6/14/1953,0.61
7/14/1953,0
8/14/1953,0.07
9/14/1953,0
10/14/1953,0.34
11/14/1953,1.88
12/14/1953,0.82
1/14/1954,3.11
2/14/1954,2.42
3/14/1954,4.56
4/14/1954,0.82
5/14/1954,0.11
6/14/1954,0.14
7/14/1954,0.03
8/14/1954,0.2
9/14/1954,0
10/14/1954,0.24
11/14/1954,2.55
12/14/1954,5.67
1/14/1955,4.05
2/14/1955,1.18
3/14/1955,0.29
4/14/1955,1.49
5/14/1955,0.04
6/14/1955,0
7/14/1955,0.02
8/14/1955,0
9/14/1955,0.02
10/14/1955,0.03
11/14/1955,2.38
12/14/1955,11.47
1/14/1956,8.72
2/14/1956,2.03
3/14/1956,0.12
4/14/1956,1.68
5/14/1956,0.68
6/14/1956,0.02
7/14/1956,0
8/14/1956,0.01
9/14/1956,0.33
10/14/1956,1.14
11/14/1956,0.04
12/14/1956,0.37
1/14/1957,2.84
2/14/1957,3.58
3/14/1957,2.39
4/14/1957,1.09
5/14/1957,3.19
6/14/1957,0.06
7/14/1957,0.01
8/14/1957,0
9/14/1957,1.46
10/14/1957,3.46
11/14/1957,1.13
12/14/1957,3.6
1/14/1958,4.38
2/14/1958,7.78
3/14/1958,8.22
4/14/1958,5.47
5/14/1958,0.88
6/14/1958,0.09
7/14/1958,0.05
8/14/1958,0
9/14/1958,0.04
10/14/1958,0.21
11/14/1958,0.28
12/14/1958,1.5
1/14/1959,4.17
2/14/1959,4.5
3/14/1959,0.49
4/14/1959,0.91
5/14/1959,0.08
6/14/1959,0
7/14/1959,0
8/14/1959,0.02
9/14/1959,2.06
10/14/1959,0.09
11/14/1959,0
12/14/1959,1.75
1/14/1960,4.45
2/14/1960,2.92
3/14/1960,1.91
4/14/1960,0.96
5/14/1960,0.72
6/14/1960,0
7/14/1960,0
8/14/1960,0
9/14/1960,0
10/14/1960,0.48
11/14/1960,3.4
12/14/1960,2.33
1/14/1961,2.78
2/14/1961,1.3
3/14/1961,2.47
4/14/1961,0.96
5/14/1961,0.91
6/14/1961,0.03
7/14/1961,0.01
8/14/1961,0.04
9/14/1961,0.27
10/14/1961,0.08
11/14/1961,4.72
12/14/1961,2.1
1/14/1962,1.05
2/14/1962,6.11
3/14/1962,2.69
4/14/1962,0.23
5/14/1962,0.05
6/14/1962,0
7/14/1962,0
8/14/1962,0.1
9/14/1962,0.15
10/14/1962,4.11
11/14/1962,0.58
12/14/1962,3.48
1/14/1963,2.25
2/14/1963,2.55
3/14/1963,3.71
4/14/1963,2.92
5/14/1963,0.66
6/14/1963,0.03
7/14/1963,0
8/14/1963,0
9/14/1963,0.16
10/14/1963,1.46
11/14/1963,3.26
12/14/1963,0.82
1/14/1964,4.5
2/14/1964,0.24
3/14/1964,1.82
4/14/1964,0.24
5/14/1964,0.38
6/14/1964,0.46
7/14/1964,0.1
8/14/1964,0.04
9/14/1964,0.02
10/14/1964,1.46
11/14/1964,3.46
12/14/1964,4.5
1/14/1965,3.68
2/14/1965,0.9
3/14/1965,2.48
4/14/1965,3.92
5/14/1965,0
6/14/1965,0.05
7/14/1965,0
8/14/1965,0.97
9/14/1965,0
10/14/1965,0.02
11/14/1965,5.34
12/14/1965,4.58
1/14/1966,3.18
2/14/1966,2.86
3/14/1966,0.75
4/14/1966,0.45
5/14/1966,0.29
6/14/1966,0.17
7/14/1966,0
8/14/1966,0.18
9/14/1966,0.12
10/14/1966,0.04
11/14/1966,4.52
12/14/1966,3.72
1/14/1967,10.14
2/14/1967,0.64
3/14/1967,4.14
4/14/1967,5.56
5/14/1967,0.13
6/14/1967,1.69
7/14/1967,0
8/14/1967,0
9/14/1967,0.02
10/14/1967,0.73
11/14/1967,1
12/14/1967,2.15
1/14/1968,4.879312
2/14/1968,2.706712
3/14/1968,3.324696
4/14/1968,0.283056
5/14/1968,0.186496
6/14/1968,0
7/14/1968,0.041656
8/14/1968,0.12856
9/14/1968,0.08028
10/14/1968,0.736888
11/14/1968,3.179856
12/14/1968,4.734472
1/14/1969,7.138816
2/14/1969,6.98432
3/14/1969,0.9976
4/14/1969,1.837672
5/14/1969,0.051312
6/14/1969,0.08028
7/14/1969,0
8/14/1969,0
9/14/1969,0.12856
10/14/1969,2.774304
11/14/1969,0.930008
12/14/1969,5.786976
1/14/1970,7.35
2/14/1970,2.02
3/14/1970,1.99
4/14/1970,0.12
5/14/1970,0.05
6/14/1970,0.8
7/14/1970,0
8/14/1970,0.28
9/14/1970,0
10/14/1970,0.81
11/14/1970,5.82
12/14/1970,6.24
1/14/1971,1.98
2/14/1971,0.41
3/14/1971,2.64
4/14/1971,1.14
5/14/1971,0.46
6/14/1971,0
7/14/1971,0
8/14/1971,0
9/14/1971,0.15
10/14/1971,0.15
11/14/1971,1.68
12/14/1971,4.74
1/14/1972,1.68
2/14/1972,2.17
3/14/1972,0.28
4/14/1972,1.1
5/14/1972,0
6/14/1972,0.13
7/14/1972,0
8/14/1972,0
9/14/1972,0.8
10/14/1972,4.65
11/14/1972,6.22
12/14/1972,3.67
1/14/1973,8.38
2/14/1973,6.64
3/14/1973,2.93
4/14/1973,0.06
5/14/1973,0.06
6/14/1973,0
7/14/1973,0.21
8/14/1973,0
9/14/1973,0.4
10/14/1973,2.01
11/14/1973,5.9
12/14/1973,5.19
1/14/1974,4.25
2/14/1974,1.74
3/14/1974,6.23
4/14/1974,2.76
5/14/1974,0
6/14/1974,0.22
7/14/1974,0.49
8/14/1974,0.03
9/14/1974,0
10/14/1974,0.78
11/14/1974,0.57
12/14/1974,1.31
1/14/1975,1.18
2/14/1975,5.07
3/14/1975,5.99
4/14/1975,1.57
5/14/1975,0.05
6/14/1975,0.1
7/14/1975,0.33
8/14/1975,0.11
9/14/1975,0.02
10/14/1975,2.4
11/14/1975,0.81
12/14/1975,0.35
1/14/1976,0.53
2/14/1976,1.49
3/14/1976,1.38
4/14/1976,1.26
5/14/1976,0.05
6/14/1976,0.03
7/14/1976,0
8/14/1976,0.98
9/14/1976,0.18
10/14/1976,0.53
11/14/1976,1.31
12/14/1976,2.6
1/14/1977,1.84
2/14/1977,1.02
3/14/1977,2.63
4/14/1977,0.13
5/14/1977,0.66
6/14/1977,0.02
7/14/1977,0
8/14/1977,0
9/14/1977,1
10/14/1977,0.24
11/14/1977,2.13
12/14/1977,3.67
1/14/1978,6.54
2/14/1978,3.8
3/14/1978,5.89
4/14/1978,4.1
5/14/1978,0.01
6/14/1978,0
7/14/1978,0
8/14/1978,0
9/14/1978,0.26
10/14/1978,0
11/14/1978,1.25
12/14/1978,1.09
1/14/1979,6.7
2/14/1979,4.14
3/14/1979,2.63
4/14/1979,0.94
5/14/1979,0.23
6/14/1979,0.03
7/14/1979,0.06
8/14/1979,0
9/14/1979,0
10/14/1979,1.55
11/14/1979,2.63
12/14/1979,3.5
1/14/1980,4.83
2/14/1980,6.47
3/14/1980,2.1
4/14/1980,1.04
5/14/1980,0.26
6/14/1980,0
7/14/1980,0.05
8/14/1980,0
9/14/1980,0.36
10/14/1980,0.1
11/14/1980,1.26
12/14/1980,1.72
1/14/1981,4.72
2/14/1981,1.69
3/14/1981,5.3
4/14/1981,0.23
5/14/1981,0.19
6/14/1981,0
7/14/1981,0
8/14/1981,0.09
9/14/1981,0.41
10/14/1981,2.13
11/14/1981,5.07
12/14/1981,3.38
1/14/1982,7.1
2/14/1982,3
3/14/1982,5.81
4/14/1982,4.53
5/14/1982,0
6/14/1982,0.18
7/14/1982,0.04
8/14/1982,0
9/14/1982,0.55
10/14/1982,2.62
11/14/1982,5.56
12/14/1982,2.89
1/14/1983,5.17
2/14/1983,7.18
3/14/1983,9.29
4/14/1983,3.85
5/14/1983,0.62
6/14/1983,0
7/14/1983,0
8/14/1983,0.06
9/14/1983,0.11
10/14/1983,0.6
11/14/1983,8.2
12/14/1983,6.35
1/14/1984,0.42
2/14/1984,2.31
3/14/1984,1.04
4/14/1984,0.86
5/14/1984,0.07
6/14/1984,0.13
7/14/1984,0
8/14/1984,0.23
9/14/1984,0.08
10/14/1984,2.69
11/14/1984,4.82
12/14/1984,2.29
1/14/1985,1.32
2/14/1985,1.22
3/14/1985,4.09
4/14/1985,0.34
5/14/1985,0.26
6/14/1985,0.31
7/14/1985,0.21
8/14/1985,0.02
9/14/1985,0.62
10/14/1985,1
11/14/1985,4.95
12/14/1985,2.04
1/14/1986,3.74
2/14/1986,7.01
3/14/1986,7.18
4/14/1986,0.84
5/14/1986,0.14
6/14/1986,0.13
7/14/1986,0
8/14/1986,0
9/14/1986,1.07
10/14/1986,0.21
11/14/1986,0.18
12/14/1986,1.94
1/14/1987,4.56
2/14/1987,2.52
3/14/1987,2.96
4/14/1987,0.2
5/14/1987,0.05
6/14/1987,0
7/14/1987,0
8/14/1987,0
9/14/1987,0
10/14/1987,1.1
11/14/1987,2.07
12/14/1987,2.6
1/14/1988,4.24
2/14/1988,0.42
3/14/1988,0.2
4/14/1988,2.67
5/14/1988,0.4
6/14/1988,0.36
7/14/1988,0
8/14/1988,0
9/14/1988,0
10/14/1988,0.64
11/14/1988,2.9
12/14/1988,3.68
1/14/1989,1.54
2/14/1989,1.93
3/14/1989,4.75
4/14/1989,0.9
5/14/1989,0.18
6/14/1989,0
7/14/1989,0.06
8/14/1989,0
9/14/1989,1.7
10/14/1989,2.06
11/14/1989,1.25
12/14/1989,0
1/14/1990,1.9
2/14/1990,2.25
3/14/1990,1.2
4/14/1990,0.45
5/14/1990,1.78
6/14/1990,0.1
7/14/1990,0
8/14/1990,0
9/14/1990,0.12
10/14/1990,0.06
11/14/1990,0.61
12/14/1990,2.1
1/14/1991,0.51
2/14/1991,2.88
3/14/1991,6.71
4/14/1991,1.13
5/14/1991,0.43
6/14/1991,0.26
7/14/1991,0.04
8/14/1991,2.26
9/14/1991,0.05
10/14/1991,1.11
11/14/1991,0.31
12/14/1991,2.3
1/14/1992,2.52
2/14/1992,5.78
3/14/1992,5.09
4/14/1992,0.41
5/14/1992,0
6/14/1992,0.46
7/14/1992,0.04
8/14/1992,0.03
9/14/1992,0
10/14/1992,1.39
11/14/1992,0.19
12/14/1992,5.77
1/14/1993,8.67
2/14/1993,3.67
3/14/1993,1.77
4/14/1993,1.1
5/14/1993,0.9
6/14/1993,0.36
7/14/1993,0.01
8/14/1993,0.04
9/14/1993,0.01
10/14/1993,0.31
11/14/1993,2.79
12/14/1993,2.32
1/14/1994,2.75
2/14/1994,4.7
3/14/1994,0.35
4/14/1994,1.23
5/14/1994,1.47
6/14/1994,0.05
7/14/1994,0
8/14/1994,0
9/14/1994,0.14
10/14/1994,0.12
11/14/1994,5.16
12/14/1994,3.22
1/14/1995,10.11
2/14/1995,0.66
3/14/1995,7.85
4/14/1995,1.28
5/14/1995,0.98
6/14/1995,0.62
7/14/1995,0
8/14/1995,0
9/14/1995,0
10/14/1995,0
11/14/1995,0.1
12/14/1995,5.4
1/14/1996,3.29
2/14/1996,5.28
3/14/1996,2.43
4/14/1996,1.87
5/14/1996,1.49
6/14/1996,0
7/14/1996,0
8/14/1996,0.02
9/14/1996,0.01
10/14/1996,1.14
11/14/1996,2.95
12/14/1996,6.37
1/14/1997,7.45
2/14/1997,0.25
3/14/1997,0.27
4/14/1997,0.29
5/14/1997,0.2
6/14/1997,0.45
7/14/1997,0
8/14/1997,1.1
9/14/1997,0.08
10/14/1997,0.86
11/14/1997,5.94
12/14/1997,3.63
1/14/1998,11.67
2/14/1998,15.64
3/14/1998,2.77
4/14/1998,2.73
5/14/1998,4.2
6/14/1998,0.05
7/14/1998,0.02
8/14/1998,0
9/14/1998,0.05
10/14/1998,0.69
11/14/1998,2.69
12/14/1998,2.04
1/14/1999,3.9
2/14/1999,5.27
3/14/1999,1.01
4/14/1999,2.68
5/14/1999,0.09
6/14/1999,0.02
7/14/1999,0
8/14/1999,0.03
9/14/1999,0.18
10/14/1999,0.42
11/14/1999,0.86
12/14/1999,1.03
1/14/2000,4.74
2/14/2000,6.79
3/14/2000,1.75
4/14/2000,1.2
5/14/2000,0.54
6/14/2000,0.8
7/14/2000,0
8/14/2000,0
9/14/2000,0.25
10/14/2000,1.4
11/14/2000,0.3
12/14/2000,0.57
1/14/2001,1.92
2/14/2001,4.1
3/14/2001,1.96
4/14/2001,0.63
5/14/2001,0
6/14/2001,0.12
7/14/2001,0
8/14/2001,0
9/14/2001,0.5
10/14/2001,0.38
11/14/2001,2.73
12/14/2001,4.28
1/14/2002,3.5
2/14/2002,0.84
3/14/2002,1.94
4/14/2002,0.29
5/14/2002,0.86
6/14/2002,0
7/14/2002,0
8/14/2002,0
9/14/2002,0
10/14/2002,0
11/14/2002,1.18
12/14/2002,8.81
1/14/2003,1.96
2/14/2003,2.16
3/14/2003,1.27
4/14/2003,3.65
5/14/2003,1.1
6/14/2003,0
7/14/2003,0
8/14/2003,0
9/14/2003,0
10/14/2003,0
11/14/2003,1.88
12/14/2003,6.52
1/14/2004,3.56
2/14/2004,6.42
3/14/2004,0.94
4/14/2004,0.15
5/14/2004,0
6/14/2004,0
7/14/2004,0
8/14/2004,0
9/14/2004,0
10/14/2004,0.25
11/14/2004,2.01
12/14/2004,8.13
1/14/2005,6.13
2/14/2005,4.32
3/14/2005,4.03
4/14/2005,1.55
5/14/2005,1.78
6/14/2005,1.58
7/14/2005,0
8/14/2005,0
9/14/2005,0
10/14/2005,0.349942
11/14/2005,1.644604
12/14/2005,7.23
1/14/2006,3.03
2/14/2006,3.14
3/14/2006,8.85
4/14/2006,4.82
5/14/2006,0.33
6/14/2006,0
7/14/2006,0
8/14/2006,0
9/14/2006,0
10/14/2006,0.506036
11/14/2006,2.45262
12/14/2006,4.33493
1/14/2007,0.634584
2/14/2007,3.719736
3/14/2007,0.66213
4/14/2007,1.359962
5/14/2007,0.38667
6/14/2007,0
7/14/2007,0.1
8/14/2007,0
9/14/2007,0.15
10/14/2007,3.79
11/14/2007,1.96
12/14/2007,4.01
1/14/2008,9.75
2/14/2008,2.14
3/14/2008,0.12
4/14/2008,0.12
5/14/2008,0
6/14/2008,0
7/14/2008,0.03
8/14/2008,0.04
9/14/2008,0
10/14/2008,0.29
11/14/2008,2.08
12/14/2008,2.58
1/14/2009,0.74
2/14/2009,7.44
3/14/2009,2.84
4/14/2009,0.3
5/14/2009,0.89
6/14/2009,0
7/14/2009,0
8/14/2009,0
9/14/2009,0.28
10/14/2009,3.11
11/14/2009,0.45
12/14/2009,2.77
1/14/2010,6.66
2/14/2010,3.42
3/14/2010,2.79
4/14/2010,3.59
5/14/2010,0.95
6/14/2010,0.07
7/14/2010,0
8/14/2010,0.01
9/14/2010,0.02
10/14/2010,1.81
11/14/2010,3.1
12/14/2010,6.71
1/14/2011,1.55
2/14/2011,4.94
3/14/2011,7.02
4/14/2011,0.56
5/14/2011,1.13
6/14/2011,2.02
7/14/2011,0.08
8/14/2011,0.03
9/14/2011,0
10/14/2011,1.38
11/14/2011,1.74
12/14/2011,0.14
1/14/2012,2.68
2/14/2012,1.09
3/14/2012,5.7
4/14/2012,2.64
5/14/2012,0.02
6/14/2012,0.14
7/14/2012,0.01
8/14/2012,0.01
9/14/2012,0
10/14/2012,1.47
11/14/2012,4.5
12/14/2012,7.11
1/14/2013,0.49
2/14/2013,0.85
3/14/2013,0.97
4/14/2013,1.01
5/14/2013,0.04
6/14/2013,0.15
7/14/2013,0
8/14/2013,0.04
9/14/2013,0.39
10/14/2013,0
11/14/2013,1.26
12/14/2013,0.39
1/14/2014,0.06
2/14/2014,5.82
3/14/2014,2.95
4/14/2014,1.59
5/14/2014,0.03
6/14/2014,0.01
7/14/2014,0.08
8/14/2014,0.01
9/14/2014,0.55
10/14/2014,0.46
11/14/2014,2.29
12/14/2014,11.7
1/14/2015,0
2/14/2015,1.47
3/14/2015,0.12
4/14/2015,1.3
5/14/2015,0.09
6/14/2015,0.12
7/14/2015,0.09
8/14/2015,0.02
9/14/2015,0.09
10/14/2015,0
11/14/2015,1.43
12/14/2015,5.18
1/14/2016,7.03
2/14/2016,0.98
3/14/2016,6.83
4/14/2016,1.46
5/14/2016,0.15
6/14/2016,0
7/14/2016,0.02
8/14/2016,0.02
9/14/2016,0
10/14/2016,2.43
11/14/2016,2.21
12/14/2016,4.39
1/14/2017,9.42
2/14/2017,7.6
3/14/2017,3.9
4/14/2017,2.25
5/14/2017,0
6/14/2017,0.1
7/14/2017,0
8/14/2017,0.01
9/14/2017,0.1
10/14/2017,0.31
11/14/2017,2.83
12/14/2017,0.15
1/14/2018,5.21
2/14/2018,0.42
3/14/2018,4.54
4/14/2018,3.91
5/14/2018,0.04
6/14/2018,0.01
7/14/2018,0
8/14/2018,0
9/14/2018,0
10/14/2018,0.21
11/14/2018,3.56
12/14/2018,2.18
1/14/2019,5.13
2/14/2019,7.94
3/14/2019,4.33
4/14/2019,0.43
5/14/2019,1.94
6/14/2019,0
